Text,Date,search_term
"Per ABC poll: 40% of Republicans would NOT get a COVID-19 vaccine. Yup, of course. ",06/02/2020,vaccine
The protests will continue on till there’s justice is served and the virus will unfortunately go on till there’s a vaccine so in reality none of this going away soon until there’s a change that’s needed. Sports will bring back some normalcy tho that we’ve been sorely needing.,06/02/2020,vaccine
"That is a pretty low number considering their cultish tendencies. If he can't get over 50% of his own base, it looks like he's history. There are three things I am praying for (in my agnostic way): a vaccine for covid-19.;an end to Trump's regime,; good health to Justice Ruth.",06/02/2020,vaccine
Let the cities get the vaccines later thin the herd,06/02/2020,vaccine
I’m really HOPING and praying there will be at least some experimental vaccines available this winter.many are already on to large human trials fingers crossed ,06/02/2020,vaccine
"There will be a COVID19 vaccine available for all socialists and democrats 6/20/2020. However, Conservatives must wait until 1/1/21. The WH apologises for the delay. #VoteTrump2020 @POTUS",06/02/2020,vaccine
No to vaccines,06/02/2020,vaccine
And anti-vaccine! What a nut.,06/02/2020,vaccine
"Leftists have infected everything, Trump is the vaccine! @realDonaldTrump",06/02/2020,vaccine
"We are feeding into the hands of very nervous 2% ""Leaders"" Beware sudden approvals of vaccines w/no oversight for what they can contain Sleeper cancer cells, rfid nano tracking devices &amp; all sorts of timed nasties can be included How do we the ""flawed Shingle Vax"" ppl feel?",06/02/2020,vaccine
You know the vaccines are bad!,06/02/2020,vaccine
"I can’t wait until we have the vaccine, I have you and a lot of other people to scream “fuck you” at, to your faces.",06/02/2020,vaccine
"Yeah, um no. Who in their right mind is going to go to a restaurant until we have a vaccine. The expectation from the government that everything will just go back to normal during a pandemic, what the bloody hell goes on in your heads?",06/02/2020,vaccine
I don’t think Johnson&Johnson will be the first to discover a vaccine.,06/02/2020,vaccine
And I am calling BS on your statement that more people die each year from getting the flu vaccine than have died from Covid19....just not true.,06/02/2020,vaccine
Twitterverse These protests This might be the most important tweet I have ever made Novel Corona virus was released w/2 purposes To reduce populations & A tracking vaccine When it failed in reducing us There was ONE way to get thousands of people together to be infected again,06/02/2020,vaccine
Is there a Vaccine for Liberalism? Please Post Answer Below .,06/02/2020,vaccine
"Would YOU run out in October and get a COVID-19 vaccine? After a few lousy months of testing and not knowing what long term effects it might have? Not me! I’ll think about getting it next year, maybe",06/02/2020,vaccine
y'all gon take a vaccine?????,06/02/2020,vaccine
@realDonaldTrump you referenced progress in the vaccine and treatment- can you share more details or have @PressSec or Dr Birx or Fauci expand on this? This is good news.,06/02/2020,vaccine
Mind you this protest is about vaccines and China and sh..you know what ,06/02/2020,vaccine
Why no one at this press conference with @GovKemp got masks on except Toomey?! They got a vaccine I don't know about?!,06/02/2020,vaccine
