Text,Date,search_term
#STL just released a breakdown of #COVID19 cases by zip code. ,04/01/2020,covid-19
"SOMETHING GOOD Thank you, @swish41 for always leading the way in the community. Dirk Donates $135,000 to Local Charities Amid COVID-19 Outbreak ",04/01/2020,covid-19
I know these #Jeopardy episodes were probably filmed before all the Covid-19 restrictions but I still feel the contestants are too close to Alex ,04/01/2020,covid-19
Check out the latest @C2RO__ blog post to see why having access to #accurateBusinessData is crucial for making right deciosns during and after #economiccrisis like #COVID19 ,04/01/2020,covid-19
Covid-19 isn't real. Happy April fools!,04/01/2020,covid-19
#FilmYourHospital #COVID19 #JustAnswering,04/01/2020,covid-19
"Omg My friend @racheld has been chronicling the nightmare journey her husband and my friend @jrwortman with #Covid_19 After 2 weeks in the hospitals and 6 days on a vent...this! Cheers to their family reunion, and to this amazing care team. #Heroes",04/01/2020,covid-19
"Firmé, junto con un grupo de políticos integrados en la CELAG, una solicitud que le hicimos al @FMInoticias para que, debido a la crisis que está provocando la Pandemia del COVID-19, cancele la Deuda Externa de los países de América Latina #COVID19 https://www.celag.org/la-hora-de-la-condonacion-de-la-deuda-para-america-latina/",04/01/2020,covid-19
Breathe. No masks needed when walking among these friends. This is also our reality Swipe across to walk with me. #physicaldistancing #Covid_19 #socialdistancing #trees #walking #hiking… https://www.instagram.com/p/B-dQSCVJzWb/?igshid=hit9tjdmzz8u,04/01/2020,covid-19
"bumble_mexico Los negocios pequeños y medianos se están viendo afectados económicamente por el COVID-19 y nosotros queremos apoyarlos. A partir de hoy hasta el 7 de abril, los dueños de pequeñas empresas podrán… https://www.instagram.com/p/B-dQR4OJB5A/?igshid=koma8vd12xqy",04/01/2020,covid-19
"1/4 Other experience with no damage to business : In Taiwan - no quarantine, no lockdown, all schools are open (after only 2 weeks closure ) and life continues. #coronavirus #covid19 ",04/01/2020,covid-19
https://amp.cnn.com/cnn/2020/04/01/health/us-coronavirus-sundee-rutter-death-children-walkie-talkie/index.html?__twitter_impression=true Here's A Face To Make COVID-19 REAL! Share Everywhere #StayAtHome #StayWell #SocialDistancing #TruthSavesLives #Resist #PostcardsToVoters #IDDEM #IndivisibleID #idpol #ReclaimIdaho #idyoungdems,04/01/2020,covid-19
There are two confirmed deaths from COVID-19 associated with Whisperwood. There may be two more. I talked with employees and officials about this worst-case scenario situation. ,04/01/2020,covid-19
Please tell me why MSM is showing trump lying and diverting the story away from COVID19? We need action not diversion.,04/01/2020,covid-19
How many Public Health Officers have their own fan club? #bcpoli #cdnpoli #covid19 ,04/01/2020,covid-19
My buddy Andy is part of a pretty great jerky company. 100% of pre-sale profits for their new Nashville Hot flavor going to COVID-19 relief for employees. ,04/01/2020,covid-19
Excelente donación porque si los médicos se contagian no habrá quien asista a los pacientes y también ellos sin protección contagiarían a sus pacientes que están libres de covid-19.,04/01/2020,covid-19
The problem with Bernie’s “narrow path” argument—that #COVID19 has people seeing the need for universal healthcare—are all those exit polls showing an overwhelming majority in support of it. They are already voting... and they’re voting for @JoeBiden.,04/01/2020,covid-19
#PueblaCaeConBarbosa El gobernador Miguel Barbosa se burla de los poblanos diciendo que son inmunes al Covid-19 y no dice nada sobre que haremos ante está situación. @MBarbosaMX déjate de payasadas https://twitter.com/alejandros65/status/1245489123332427778/video/1,04/01/2020,covid-19
@CSATP - here is more proof that those of us with insurance for our spring break trips have no control over the trip not happening @kyoag - travel insurers not making adjustments due to COVID-19. ,04/01/2020,covid-19
Blessed for the opportunity to give back during these hard times. #truckers #FMCSA #givingback #Covid_19 #FrontLineHeroes,04/01/2020,covid-19
"Just sold this guy! Proving once again that the quality of my friend pool is high, unlike yours. #humble #sold #tentacle #chicago #cheflife #chefasfuck #art #sharpie #stayhome #covıd19 #coronavirus #pandemic… https://www.instagram.com/p/B-dQIl0hLl2/?igshid=w40tz3y5b0pm",04/01/2020,covid-19
"Film Date: April 1, 2020 | http://WWW.GEORGE.NEWS A look inside the hospital ship USNS Mercy (T-AH 19). Mercy deployed in support of the nation's COVID-19 response efforts &amp; will serve as a referral hospital for non-COVID-19 patients currently admitted to shore-based hospitals. ",04/01/2020,covid-19
City officials will provide a COVID-19 update at 6 p.m. ,04/01/2020,covid-19
"Jeffree, I’m a mother of 4 plus two bonus kids, a wife who’s husband was diagnosed with lymphoma four weeks ago. My husband can’t work due to COVID-19 and is high risk. I take care of my elder mother as well. I’ve exhausted all efforts to help my family. $alkemiss",04/01/2020,covid-19
"#COVID19: @WeAreDCPH announces 25 new cases of coronavirus, bringing @DentonCountyTX totals to 231. So far 55 of the patients with the virus have recovered. #ntTV #WeAreNorthTexas",04/01/2020,covid-19
Perfect. #COVID19 ,04/01/2020,covid-19
"2nd dose of #COVID-19 humor #saferathome #stayin #lockdown2020 @Brookfield, Wisconsin https://www.instagram.com/p/B-dQEz_np8i58VGRL3RBWCOq1IsgZXVxlXsBIk0/?igshid=1nlmfkqvdksxm",04/01/2020,covid-19
@JustinTrudeau by listening to the @who &amp; not implementing a national shutdown or stopping air travel followed with lies on #PPE this tragedy is on you. #COVID19 #coronavirus #COVIDー19 #Canada #cdnpoli,04/01/2020,covid-19
"Being a business owner is so weird, just when I thought I didn’t know what I was doing COVID-19 really showed me that I actually don’t know what the *hell* I am doing lol all these questions from my CPA and banks got me like ",04/01/2020,covid-19
@AP_Courtside @AP #COVIDー19 #coronavirus #WellnessWednesday #SocialDistanacing THINGS TO DO WITH YOUR NEIGHBORS IN YOUR #COVID19 #QuarantineAndChill TIME... ,04/01/2020,covid-19
"Many Asian-Americans, especially Chinese-Americans, are being subject to racism from the fear of COVID-19. Please don't be xenophobic &amp; disgusting towards us, and our race/culture. Thank you. #asianawarness",04/01/2020,covid-19
52 years old and taken by COVID-19. Fuck 2020. “Stacy’s Mom” and “That Thing You Do” were my faves. RIP Adam Schlesinger @fountainsofwayn,04/01/2020,covid-19
"I really want to see Christian pastors laying hands on the Corona sick, excising that COVID19 devil. I want to see their faith in action. I could watch that all day.",04/01/2020,covid-19
"We will WIN this fight w/CCP Coronavirus covid-19 WHEN doctors Funky&amp;BItsch, I mean Fawcci&amp;Birx, decide French Russian&amp;Israeli studie&amp;scientists&amp;practice are as valid as our&amp;these HAUGHTY elitist accept that hydroxychloroquine&amp;chloroquine immediately go to work&amp;we will have WON",04/01/2020,covid-19
@gcntweet #gcnhack Due to current covid-19 lock down made my direct drive trainer to partially smart trainer so I can ride zwift or trainer road inside. Magnet on spinning part for speed calculation. ,04/01/2020,covid-19
"The kids found one of the fake Covid-19 testing tents today... they won’t be back @Pleasure Ridge Park, Louisville https://www.instagram.com/p/B-dP0WXF-56/?igshid=18rs4794x7hxp",04/01/2020,covid-19
"In an alternate universe, the richest country in the world has spare COVID19 tests for packages that come in the mail. #wishfulthinking",04/01/2020,covid-19
 KSBW: Salinas farmworkers stay in the field during COVID-19 pandemic ,04/01/2020,covid-19
"For further context, we’re all up in arms about “22 per day” (inaccurate number, but it’s still widely used in vet circles). 22 x 365 = 8,030 per year. That’s a lot, but — According to the White House, our best case scenario for COVID-19 is more than 12 times that. ",04/01/2020,covid-19
"Doctors can't use COVID-19 antibodies from gay men or anyone taking PrEP https://www.nbcnews.com/feature/nbc-out/doctors-can-t-use-covid-19-antibodies-gay-men-or-n1174341 via @nbcnews #lawandsex students, we’ve talked about disease criminalization and legal barring of gay men’s blood donations.",04/01/2020,covid-19
