Date,search_term,Sentiment_Pred_x,TweetCleaned,Sentiment_Pred_y,Sentiment_Score
03/17/2020,lysol,238,306,306,0.7777777777777778
03/17/2020,pandemic,287,500,500,0.574
03/17/2020,quarantine,293,500,500,0.586
03/17/2020,vaccine,384,500,500,0.768
03/18/2020,covid,265,500,500,0.53
03/18/2020,covid-19,267,500,500,0.534
03/18/2020,lockdown,305,500,500,0.61
03/18/2020,lysol,245,298,298,0.8221476510067114
03/18/2020,pandemic,300,500,500,0.6
03/18/2020,quarantine,291,500,500,0.582
03/18/2020,vaccine,382,500,500,0.764
03/19/2020,covid,259,500,500,0.518
03/19/2020,covid-19,270,500,500,0.54
03/19/2020,lockdown,347,500,500,0.694
03/19/2020,lysol,220,260,260,0.8461538461538461
03/19/2020,pandemic,301,500,500,0.602
03/19/2020,quarantine,289,500,500,0.578
03/19/2020,vaccine,366,500,500,0.732
03/20/2020,covid,282,500,500,0.564
03/20/2020,covid-19,275,500,500,0.55
03/20/2020,lockdown,336,500,500,0.672
03/20/2020,lysol,219,266,266,0.8233082706766918
03/20/2020,pandemic,300,500,500,0.6
03/20/2020,quarantine,311,500,500,0.622
03/20/2020,vaccine,385,500,500,0.77
03/21/2020,covid,262,499,499,0.5250501002004008
03/21/2020,covid-19,260,500,500,0.52
03/21/2020,lockdown,331,500,500,0.662
03/21/2020,lysol,176,216,216,0.8148148148148148
03/21/2020,pandemic,282,500,500,0.564
03/21/2020,quarantine,299,500,500,0.598
03/21/2020,vaccine,371,500,500,0.742
03/22/2020,covid,257,500,500,0.514
03/22/2020,covid-19,248,500,500,0.496
03/22/2020,lockdown,328,500,500,0.656
03/22/2020,lysol,173,200,200,0.865
03/22/2020,pandemic,296,500,500,0.592
03/22/2020,quarantine,305,500,500,0.61
03/22/2020,vaccine,353,490,490,0.7204081632653061
03/23/2020,covid,236,500,500,0.472
03/23/2020,covid-19,250,500,500,0.5
03/23/2020,lockdown,350,500,500,0.7
03/23/2020,lysol,172,203,203,0.8472906403940886
03/23/2020,pandemic,302,500,500,0.604
03/23/2020,quarantine,280,500,500,0.56
03/23/2020,vaccine,349,467,467,0.7473233404710921
03/24/2020,covid,274,500,500,0.548
03/24/2020,covid-19,291,500,500,0.582
03/24/2020,lockdown,309,500,500,0.618
03/24/2020,lysol,175,216,216,0.8101851851851852
03/24/2020,pandemic,291,500,500,0.582
03/24/2020,quarantine,307,500,500,0.614
03/24/2020,vaccine,364,486,486,0.7489711934156379
03/25/2020,covid,239,500,500,0.478
03/25/2020,covid-19,253,500,500,0.506
03/25/2020,lockdown,313,500,500,0.626
03/25/2020,lysol,147,184,184,0.7989130434782609
03/25/2020,pandemic,283,500,500,0.566
03/25/2020,quarantine,298,500,500,0.596
03/25/2020,vaccine,329,447,447,0.7360178970917226
03/26/2020,covid,265,500,500,0.53
03/26/2020,covid-19,278,500,500,0.556
03/26/2020,lockdown,315,499,499,0.6312625250501002
03/26/2020,lysol,157,189,189,0.8306878306878307
03/26/2020,pandemic,302,500,500,0.604
03/26/2020,quarantine,273,500,500,0.546
03/26/2020,vaccine,308,403,403,0.7642679900744417
03/27/2020,covid,260,500,500,0.52
03/27/2020,covid-19,250,499,499,0.501002004008016
03/27/2020,lockdown,329,500,500,0.658
03/27/2020,lysol,135,169,169,0.7988165680473372
03/27/2020,pandemic,291,500,500,0.582
03/27/2020,quarantine,292,500,500,0.584
03/27/2020,vaccine,321,424,424,0.7570754716981132
03/28/2020,covid,250,500,500,0.5
03/28/2020,covid-19,247,500,500,0.494
03/28/2020,lockdown,317,499,499,0.6352705410821643
03/28/2020,lysol,154,193,193,0.7979274611398963
03/28/2020,pandemic,313,500,500,0.626
03/28/2020,quarantine,288,500,500,0.576
03/28/2020,vaccine,303,394,394,0.7690355329949239
03/29/2020,covid,267,500,500,0.534
03/29/2020,lockdown,334,500,500,0.668
03/29/2020,lysol,133,163,163,0.8159509202453987
03/29/2020,pandemic,281,500,500,0.562
03/29/2020,quarantine,296,500,500,0.592
03/29/2020,vaccine,316,419,419,0.7541766109785203
04/01/2020,covid,255,500,500,0.51
04/01/2020,covid-19,267,500,500,0.534
04/01/2020,lockdown,306,500,500,0.612
04/01/2020,lysol,13,14,14,0.9285714285714286
04/01/2020,pandemic,292,500,500,0.584
04/01/2020,quarantine,289,500,500,0.578
04/01/2020,vaccine,243,321,321,0.7570093457943925
04/02/2020,covid,237,500,500,0.474
04/02/2020,covid-19,255,500,500,0.51
04/02/2020,lockdown,318,500,500,0.636
04/02/2020,lysol,143,174,174,0.8218390804597702
04/02/2020,pandemic,278,500,500,0.556
04/02/2020,quarantine,303,500,500,0.606
04/02/2020,vaccine,394,500,500,0.788
04/03/2020,covid,255,500,500,0.51
04/03/2020,covid-19,256,499,499,0.5130260521042084
04/03/2020,lockdown,331,500,500,0.662
04/03/2020,lysol,134,147,147,0.9115646258503401
04/03/2020,pandemic,315,500,500,0.63
04/03/2020,quarantine,304,500,500,0.608
04/03/2020,vaccine,383,500,500,0.766
04/04/2020,covid,256,500,500,0.512
04/04/2020,covid-19,269,500,500,0.538
04/04/2020,lockdown,319,499,499,0.6392785571142284
04/04/2020,lysol,109,133,133,0.8195488721804511
04/04/2020,pandemic,281,500,500,0.562
04/04/2020,quarantine,278,500,500,0.556
04/04/2020,vaccine,369,500,500,0.738
04/05/2020,covid,270,500,500,0.54
04/05/2020,covid-19,264,500,500,0.528
04/05/2020,lockdown,316,500,500,0.632
04/05/2020,lysol,87,107,107,0.8130841121495327
04/05/2020,pandemic,293,500,500,0.586
04/05/2020,quarantine,324,500,500,0.648
04/05/2020,vaccine,382,500,500,0.764
04/06/2020,covid,276,500,500,0.552
04/06/2020,covid-19,269,500,500,0.538
04/06/2020,lockdown,305,500,500,0.61
04/06/2020,lysol,84,104,104,0.8076923076923077
04/06/2020,pandemic,284,500,500,0.568
04/06/2020,quarantine,315,500,500,0.63
04/06/2020,vaccine,388,500,500,0.776
04/07/2020,covid,248,500,500,0.496
04/07/2020,covid-19,261,500,500,0.522
04/07/2020,lockdown,315,500,500,0.63
04/07/2020,lysol,114,137,137,0.8321167883211679
04/07/2020,pandemic,286,500,500,0.572
04/07/2020,quarantine,295,500,500,0.59
04/07/2020,vaccine,377,500,500,0.754
04/08/2020,covid,261,500,500,0.522
04/08/2020,covid-19,256,500,500,0.512
04/08/2020,lockdown,331,499,499,0.6633266533066132
04/08/2020,lysol,89,106,106,0.839622641509434
04/08/2020,pandemic,295,500,500,0.59
04/08/2020,quarantine,283,500,500,0.566
04/08/2020,vaccine,376,500,500,0.752
04/09/2020,covid,270,500,500,0.54
04/09/2020,covid-19,270,500,500,0.54
04/09/2020,lockdown,316,500,500,0.632
04/09/2020,lysol,104,121,121,0.859504132231405
04/09/2020,pandemic,269,500,500,0.538
04/09/2020,quarantine,281,500,500,0.562
04/09/2020,vaccine,370,500,500,0.74
04/10/2020,covid,253,500,500,0.506
04/10/2020,covid-19,264,500,500,0.528
04/10/2020,lockdown,314,499,499,0.6292585170340681
04/10/2020,lysol,68,80,80,0.85
04/10/2020,pandemic,297,500,500,0.594
04/10/2020,quarantine,304,500,500,0.608
04/10/2020,vaccine,377,500,500,0.754
04/11/2020,covid,250,500,500,0.5
04/11/2020,covid-19,256,500,500,0.512
04/11/2020,lockdown,317,499,499,0.6352705410821643
04/11/2020,lysol,79,95,95,0.8315789473684211
04/11/2020,pandemic,299,500,500,0.598
04/11/2020,quarantine,294,500,500,0.588
04/11/2020,vaccine,362,500,500,0.724
04/12/2020,covid,280,500,500,0.56
04/12/2020,covid-19,268,500,500,0.536
04/12/2020,lockdown,334,499,499,0.6693386773547094
04/12/2020,lysol,56,68,68,0.8235294117647058
04/12/2020,pandemic,312,500,500,0.624
04/12/2020,quarantine,292,500,500,0.584
04/12/2020,vaccine,366,500,500,0.732
04/13/2020,covid,268,500,500,0.536
04/13/2020,covid-19,259,500,500,0.518
04/13/2020,lockdown,298,500,500,0.596
04/13/2020,lysol,63,71,71,0.8873239436619719
04/13/2020,pandemic,294,500,500,0.588
04/13/2020,quarantine,299,500,500,0.598
04/13/2020,vaccine,376,500,500,0.752
04/14/2020,covid,251,500,500,0.502
04/14/2020,covid-19,272,500,500,0.544
04/14/2020,lockdown,311,500,500,0.622
04/14/2020,lysol,69,75,75,0.92
04/14/2020,pandemic,271,500,500,0.542
04/14/2020,quarantine,282,500,500,0.564
04/14/2020,vaccine,373,500,500,0.746
04/15/2020,covid,248,500,500,0.496
04/15/2020,covid-19,254,500,500,0.508
04/15/2020,lockdown,312,500,500,0.624
04/15/2020,lysol,78,93,93,0.8387096774193549
04/15/2020,pandemic,256,500,500,0.512
04/15/2020,quarantine,303,500,500,0.606
04/15/2020,vaccine,364,500,500,0.728
04/16/2020,covid,279,500,500,0.558
04/16/2020,covid-19,250,500,500,0.5
04/16/2020,lockdown,306,500,500,0.612
04/16/2020,lysol,79,91,91,0.8681318681318682
04/16/2020,pandemic,301,500,500,0.602
04/16/2020,quarantine,274,500,500,0.548
04/16/2020,vaccine,369,500,500,0.738
04/17/2020,covid,271,500,500,0.542
04/17/2020,covid-19,261,500,500,0.522
04/17/2020,lockdown,306,500,500,0.612
04/17/2020,lysol,77,87,87,0.8850574712643678
04/17/2020,pandemic,301,500,500,0.602
04/17/2020,quarantine,287,500,500,0.574
04/17/2020,vaccine,376,500,500,0.752
04/18/2020,covid,258,500,500,0.516
04/18/2020,covid-19,280,500,500,0.56
04/18/2020,lockdown,337,500,500,0.674
04/18/2020,lysol,58,72,72,0.8055555555555556
